Freq.	V(n004)*I(R_load)		
4.78E+04	-4.47E-01	-1.17E-01	0.462094762
4.79E+04	-4.45E-01	-1.10E-01	0.457893907
4.80E+04	-4.42E-01	-1.03E-01	0.453860069
4.81E+04	-4.40E-01	-9.60E-02	0.44998766
4.82E+04	-4.37E-01	-8.95E-02	0.446271333
4.83E+04	-4.35E-01	-8.31E-02	0.442705974
4.84E+04	-4.32E-01	-7.70E-02	0.439286693
4.85E+04	-4.30E-01	-7.10E-02	0.436008813
4.86E+04	-4.28E-01	-6.53E-02	0.432867864
4.87E+04	-4.26E-01	-5.96E-02	0.429859574
4.88E+04	-4.24E-01	-5.42E-02	0.42697986
4.89E+04	-4.21E-01	-4.88E-02	0.42422482
4.90E+04	-4.19E-01	-4.37E-02	0.421590727
4.91E+04	-4.17E-01	-3.86E-02	0.41907402
4.92E+04	-4.15E-01	-3.37E-02	0.416671297
4.93E+04	-4.13E-01	-2.89E-02	0.41437931
4.94E+04	-4.11E-01	-2.42E-02	0.412194956
4.96E+04	-4.10E-01	-1.96E-02	0.410115271
4.97E+04	-4.08E-01	-1.51E-02	0.408137427
4.98E+04	-4.06E-01	-1.06E-02	0.406258722
4.99E+04	-4.04E-01	-6.32E-03	0.404476577
5.00E+04	-4.03E-01	-2.08E-03	0.402788531
5.01E+04	-4.01E-01	2.08E-03	0.401192235
5.02E+04	-4.00E-01	6.17E-03	0.399685448
5.03E+04	-3.98E-01	1.02E-02	0.39826603
5.04E+04	-3.97E-01	1.42E-02	0.396931941
5.05E+04	-3.95E-01	1.81E-02	0.395681236
5.06E+04	-3.94E-01	2.19E-02	0.394512059
5.07E+04	-3.93E-01	2.57E-02	0.393422642
5.08E+04	-3.91E-01	2.94E-02	0.3924113
5.09E+04	-3.90E-01	3.31E-02	0.391476427
5.10E+04	-3.89E-01	3.68E-02	0.390616494
5.11E+04	-3.88E-01	4.04E-02	0.389830045
5.12E+04	-3.87E-01	4.40E-02	0.389115695
5.13E+04	-3.86E-01	4.76E-02	0.388472127
5.14E+04	-3.85E-01	5.11E-02	0.387898088
5.15E+04	-3.84E-01	5.46E-02	0.387392388
5.16E+04	-3.83E-01	5.81E-02	0.386953897
5.17E+04	-3.82E-01	6.15E-02	0.386581543
5.18E+04	-3.81E-01	6.50E-02	0.38627431
5.19E+04	-3.80E-01	6.84E-02	0.386031235
5.20E+04	-3.79E-01	7.18E-02	0.385851406
5.21E+04	-3.78E-01	7.52E-02	0.385733963
5.22E+04	-3.78E-01	7.86E-02	0.38567809
5.23E+04	-3.77E-01	8.20E-02	0.385683022
5.24E+04	-3.76E-01	8.53E-02	0.385748034
5.25E+04	-3.76E-01	8.87E-02	0.385872448
5.26E+04	-3.75E-01	9.21E-02	0.386055624
5.27E+04	-3.74E-01	9.55E-02	0.386296966
5.28E+04	-3.74E-01	9.89E-02	0.386595914
5.29E+04	-3.73E-01	1.02E-01	0.386951947
5.30E+04	-3.73E-01	1.06E-01	0.387364579
5.31E+04	-3.72E-01	1.09E-01	0.387833361
5.32E+04	-3.72E-01	1.12E-01	0.388357877
5.33E+04	-3.71E-01	1.16E-01	0.388937745
5.34E+04	-3.71E-01	1.19E-01	0.389572615
5.35E+04	-3.70E-01	1.23E-01	0.390262166
5.36E+04	-3.70E-01	1.26E-01	0.39100611
5.37E+04	-3.70E-01	1.30E-01	0.391804189
5.38E+04	-3.69E-01	1.33E-01	0.392656169
5.39E+04	-3.69E-01	1.37E-01	0.393561849
5.40E+04	-3.69E-01	1.40E-01	0.394521051
5.41E+04	-3.68E-01	1.44E-01	0.395533626
5.42E+04	-3.68E-01	1.48E-01	0.396599449
5.43E+04	-3.68E-01	1.51E-01	0.397718421
5.44E+04	-3.68E-01	1.55E-01	0.398890466
5.45E+04	-3.67E-01	1.59E-01	0.400115532
5.46E+04	-3.67E-01	1.62E-01	0.401393591
5.47E+04	-3.67E-01	1.66E-01	0.402724635
5.48E+04	-3.67E-01	1.70E-01	0.40410868
5.49E+04	-3.66E-01	1.74E-01	0.405545764
5.50E+04	-3.66E-01	1.78E-01	0.407035942
5.51E+04	-3.66E-01	1.82E-01	0.408579294
5.52E+04	-3.66E-01	1.86E-01	0.410175916
5.53E+04	-3.65E-01	1.90E-01	0.411825925
5.54E+04	-3.65E-01	1.94E-01	0.413529456
5.55E+04	-3.65E-01	1.98E-01	0.415286662
5.56E+04	-3.65E-01	2.02E-01	0.417097716
5.57E+04	-3.65E-01	2.06E-01	0.418962805
5.58E+04	-3.64E-01	2.11E-01	0.420882135
5.59E+04	-3.64E-01	2.15E-01	0.422855928
5.60E+04	-3.64E-01	2.19E-01	0.424884422
5.61E+04	-3.64E-01	2.24E-01	0.42696787
5.62E+04	-3.63E-01	2.28E-01	0.429106539
5.63E+04	-3.63E-01	2.33E-01	0.431300713
5.64E+04	-3.63E-01	2.38E-01	0.433550687
5.65E+04	-3.62E-01	2.42E-01	0.435856772
5.66E+04	-3.62E-01	2.47E-01	0.438219292
5.67E+04	-3.62E-01	2.52E-01	0.44063858
5.68E+04	-3.61E-01	2.57E-01	0.443114984
5.69E+04	-3.61E-01	2.62E-01	0.445648864
5.70E+04	-3.60E-01	2.67E-01	0.448240589
5.71E+04	-3.60E-01	2.72E-01	0.450890538
5.72E+04	-3.59E-01	2.77E-01	0.4535991
5.73E+04	-3.59E-01	2.82E-01	0.456366675
5.74E+04	-3.58E-01	2.88E-01	0.459193669
5.75E+04	-3.57E-01	2.93E-01	0.462080495
5.76E+04	-3.57E-01	2.98E-01	0.465027576
5.77E+04	-3.56E-01	3.04E-01	0.468035338
5.78E+04	-3.55E-01	3.10E-01	0.471104214
5.79E+04	-3.54E-01	3.15E-01	0.474234642
5.80E+04	-3.53E-01	3.21E-01	0.477427063
5.81E+04	-3.52E-01	3.27E-01	0.48068192
5.82E+04	-3.51E-01	3.33E-01	0.48399966
5.83E+04	-3.50E-01	3.39E-01	0.487380729
5.84E+04	-3.49E-01	3.45E-01	0.490825573
5.85E+04	-3.48E-01	3.51E-01	0.494334637
5.86E+04	-3.46E-01	3.58E-01	0.497908365
5.87E+04	-3.45E-01	3.64E-01	0.501547195
5.88E+04	-3.44E-01	3.71E-01	0.505251561
5.89E+04	-3.42E-01	3.77E-01	0.509021892
5.90E+04	-3.40E-01	3.84E-01	0.512858608
5.91E+04	-3.38E-01	3.91E-01	0.516762119
5.92E+04	-3.37E-01	3.97E-01	0.520732826
5.93E+04	-3.35E-01	4.04E-01	0.524771118
5.94E+04	-3.32E-01	4.11E-01	0.528877368
5.95E+04	-3.30E-01	4.18E-01	0.533051934
5.96E+04	-3.28E-01	4.26E-01	0.537295156
5.97E+04	-3.25E-01	4.33E-01	0.541607355
5.98E+04	-3.23E-01	4.40E-01	0.54598883
5.99E+04	-3.20E-01	4.48E-01	0.550439855
6.00E+04	-3.17E-01	4.55E-01	0.554960679
6.01E+04	-3.14E-01	4.63E-01	0.55955152
6.02E+04	-3.11E-01	4.71E-01	0.564212569
6.03E+04	-3.07E-01	4.79E-01	0.568943978
6.04E+04	-3.04E-01	4.87E-01	0.573745866
6.05E+04	-3.00E-01	4.95E-01	0.578618312
6.06E+04	-2.96E-01	5.03E-01	0.583561351
6.07E+04	-2.92E-01	5.11E-01	0.588574974
6.08E+04	-2.88E-01	5.19E-01	0.593659124
6.09E+04	-2.83E-01	5.27E-01	0.598813688
6.10E+04	-2.79E-01	5.36E-01	0.604038502
6.11E+04	-2.74E-01	5.44E-01	0.609333341
6.12E+04	-2.69E-01	5.53E-01	0.614697917
6.13E+04	-2.63E-01	5.61E-01	0.620131874
6.14E+04	-2.58E-01	5.70E-01	0.625634786
6.15E+04	-2.52E-01	5.79E-01	0.631206154
6.16E+04	-2.46E-01	5.87E-01	0.636845396
6.17E+04	-2.39E-01	5.96E-01	0.64255185
6.18E+04	-2.33E-01	6.05E-01	0.648324763
6.19E+04	-2.26E-01	6.14E-01	0.654163289
6.20E+04	-2.19E-01	6.23E-01	0.660066488
6.21E+04	-2.11E-01	6.32E-01	0.666033312
6.22E+04	-2.04E-01	6.40E-01	0.672062611
6.23E+04	-1.95E-01	6.49E-01	0.678153118
6.24E+04	-1.87E-01	6.58E-01	0.68430345
6.25E+04	-1.78E-01	6.67E-01	0.690512103
6.26E+04	-1.69E-01	6.76E-01	0.696777441
6.27E+04	-1.60E-01	6.85E-01	0.703097698
6.28E+04	-1.50E-01	6.93E-01	0.709470966
6.29E+04	-1.40E-01	7.02E-01	0.715895195
6.30E+04	-1.30E-01	7.11E-01	0.722368184
6.31E+04	-1.19E-01	7.19E-01	0.728887579
6.32E+04	-1.08E-01	7.27E-01	0.735450863
6.33E+04	-9.63E-02	7.36E-01	0.742055356
6.34E+04	-8.45E-02	7.44E-01	0.748698206
6.35E+04	-7.22E-02	7.52E-01	0.755376387
6.36E+04	-5.95E-02	7.60E-01	0.762086693
6.37E+04	-4.65E-02	7.67E-01	0.768825732
6.38E+04	-3.30E-02	7.75E-01	0.775589924
6.39E+04	-1.92E-02	7.82E-01	0.782375496
6.40E+04	-4.93E-03	7.89E-01	0.789178478
6.41E+04	9.70E-03	7.96E-01	0.795994703
6.42E+04	2.47E-02	8.02E-01	0.802819797
6.43E+04	4.02E-02	8.09E-01	0.809649184
6.44E+04	5.60E-02	8.15E-01	0.816478081
6.45E+04	7.22E-02	8.20E-01	0.823301496
6.46E+04	8.88E-02	8.25E-01	0.830114228
6.47E+04	1.06E-01	8.30E-01	0.836910867
6.48E+04	1.23E-01	8.35E-01	0.843685796
6.49E+04	1.41E-01	8.39E-01	0.850433192
6.50E+04	1.59E-01	8.42E-01	0.857147024
6.51E+04	1.77E-01	8.45E-01	0.863821066
6.52E+04	1.96E-01	8.48E-01	0.870448889
6.53E+04	2.15E-01	8.50E-01	0.877023876
6.54E+04	2.35E-01	8.52E-01	0.883539224
6.55E+04	2.55E-01	8.53E-01	0.889987952
6.56E+04	2.75E-01	8.53E-01	0.896362908
6.57E+04	2.95E-01	8.53E-01	0.902656781
6.58E+04	3.15E-01	8.52E-01	0.90886211
6.59E+04	3.36E-01	8.51E-01	0.914971297
6.60E+04	3.57E-01	8.49E-01	0.920976618
6.61E+04	3.78E-01	8.46E-01	0.92687024
6.62E+04	3.99E-01	8.43E-01	0.932644237
6.63E+04	4.21E-01	8.39E-01	0.938290603
6.64E+04	4.42E-01	8.34E-01	0.943801273
6.65E+04	4.64E-01	8.28E-01	0.949168141
6.66E+04	4.85E-01	8.22E-01	0.954383084
6.67E+04	5.07E-01	8.15E-01	0.959437975
6.68E+04	5.29E-01	8.07E-01	0.964324716
6.69E+04	5.50E-01	7.98E-01	0.969035252
6.70E+04	5.71E-01	7.88E-01	0.9735616
6.71E+04	5.93E-01	7.78E-01	0.977895874
6.72E+04	6.14E-01	7.67E-01	0.98203031
6.73E+04	6.34E-01	7.55E-01	0.985957289
6.74E+04	6.55E-01	7.42E-01	0.989669369
6.75E+04	6.75E-01	7.28E-01	0.993159308
6.76E+04	6.95E-01	7.14E-01	0.99642009
6.77E+04	7.14E-01	6.99E-01	0.999444955
6.78E+04	7.33E-01	6.83E-01	1.002227422
6.79E+04	7.52E-01	6.66E-01	1.004761319
6.80E+04	7.70E-01	6.49E-01	1.007040805
6.81E+04	7.87E-01	6.31E-01	1.009060395
6.82E+04	8.04E-01	6.12E-01	1.010814986
6.83E+04	8.21E-01	5.93E-01	1.012299876
6.84E+04	8.36E-01	5.72E-01	1.013510791
6.85E+04	8.51E-01	5.52E-01	1.014443896
6.86E+04	8.66E-01	5.30E-01	1.015095824
6.87E+04	8.79E-01	5.08E-01	1.015463682
6.88E+04	8.92E-01	4.86E-01	1.015545074
6.89E+04	9.04E-01	4.63E-01	1.015338108
6.90E+04	9.15E-01	4.40E-01	1.014841408
6.91E+04	9.25E-01	4.16E-01	1.014054121
6.92E+04	9.34E-01	3.92E-01	1.012975927
6.93E+04	9.42E-01	3.68E-01	1.011607037
6.94E+04	9.50E-01	3.43E-01	1.009948195
6.95E+04	9.57E-01	3.18E-01	1.008000681
6.96E+04	9.62E-01	2.93E-01	1.005766301
6.97E+04	9.67E-01	2.68E-01	1.003247384
6.98E+04	9.71E-01	2.42E-01	1.000446774
6.99E+04	9.73E-01	2.17E-01	0.997367816
7.00E+04	9.75E-01	1.92E-01	0.994014346
7.01E+04	9.76E-01	1.66E-01	0.990390674
7.02E+04	9.76E-01	1.41E-01	0.986501567
7.03E+04	9.75E-01	1.16E-01	0.982352229
7.04E+04	9.74E-01	9.13E-02	0.977948284
7.05E+04	9.71E-01	6.66E-02	0.973295747
7.06E+04	9.67E-01	4.22E-02	0.968401006
7.07E+04	9.63E-01	1.81E-02	0.963270797
7.08E+04	9.58E-01	-5.62E-03	0.957912172
7.09E+04	9.52E-01	-2.90E-02	0.952332479
7.10E+04	9.45E-01	-5.20E-02	0.946539332
7.11E+04	9.38E-01	-7.45E-02	0.940540581
7.12E+04	9.29E-01	-9.65E-02	0.934344287
7.13E+04	9.20E-01	-1.18E-01	0.927958693
7.14E+04	9.11E-01	-1.39E-01	0.921392192
7.15E+04	9.01E-01	-1.60E-01	0.914653305
7.16E+04	8.90E-01	-1.80E-01	0.907750651
7.17E+04	8.78E-01	-1.99E-01	0.900692916
7.18E+04	8.67E-01	-2.18E-01	0.893488833
7.19E+04	8.54E-01	-2.36E-01	0.886147153
7.20E+04	8.41E-01	-2.53E-01	0.878676618
7.21E+04	8.28E-01	-2.70E-01	0.871085944
7.22E+04	8.15E-01	-2.86E-01	0.863383792
7.23E+04	8.01E-01	-3.02E-01	0.855578748
7.24E+04	7.86E-01	-3.17E-01	0.847679308
7.25E+04	7.72E-01	-3.31E-01	0.839693852
7.26E+04	7.57E-01	-3.44E-01	0.831630628
7.27E+04	7.42E-01	-3.57E-01	0.823497742
7.28E+04	7.27E-01	-3.70E-01	0.815303134
7.29E+04	7.11E-01	-3.81E-01	0.807054571
7.30E+04	6.96E-01	-3.92E-01	0.798759633
7.31E+04	6.80E-01	-4.03E-01	0.790425701
7.32E+04	6.65E-01	-4.12E-01	0.782059948
7.33E+04	6.49E-01	-4.21E-01	0.773669333
7.34E+04	6.33E-01	-4.30E-01	0.765260591
7.35E+04	6.17E-01	-4.38E-01	0.756840228
7.36E+04	6.02E-01	-4.45E-01	0.748414517
7.37E+04	5.86E-01	-4.52E-01	0.739989496
7.38E+04	5.71E-01	-4.58E-01	0.731570961
7.39E+04	5.55E-01	-4.64E-01	0.723164469
7.40E+04	5.40E-01	-4.69E-01	0.714775335
7.41E+04	5.24E-01	-4.73E-01	0.706408631
7.42E+04	5.09E-01	-4.77E-01	0.698069192
7.43E+04	4.94E-01	-4.81E-01	0.689761613
7.44E+04	4.80E-01	-4.84E-01	0.681490252
7.45E+04	4.65E-01	-4.87E-01	0.673259235
7.46E+04	4.50E-01	-4.89E-01	0.665072459
7.47E+04	4.36E-01	-4.91E-01	0.656933596
7.48E+04	4.22E-01	-4.93E-01	0.648846095
7.49E+04	4.08E-01	-4.94E-01	0.640813193
7.50E+04	3.95E-01	-4.95E-01	0.632837913
7.51E+04	3.82E-01	-4.95E-01	0.624923075
7.52E+04	3.68E-01	-4.95E-01	0.6170713
7.53E+04	3.56E-01	-4.95E-01	0.609285014
7.54E+04	3.43E-01	-4.94E-01	0.601566459
7.55E+04	3.31E-01	-4.93E-01	0.593917695
7.56E+04	3.18E-01	-4.92E-01	0.586340607
7.57E+04	3.07E-01	-4.91E-01	0.578836913
7.58E+04	2.95E-01	-4.89E-01	0.571408169
7.59E+04	2.84E-01	-4.88E-01	0.564055779
7.60E+04	2.72E-01	-4.86E-01	0.556780994
7.61E+04	2.62E-01	-4.83E-01	0.549584927
7.62E+04	2.51E-01	-4.81E-01	0.542468554
7.63E+04	2.41E-01	-4.78E-01	0.535432721
7.64E+04	2.31E-01	-4.76E-01	0.52847815
7.65E+04	2.21E-01	-4.73E-01	0.521605449
7.66E+04	2.11E-01	-4.70E-01	0.51481511
7.67E+04	2.02E-01	-4.66E-01	0.508107525
7.68E+04	1.93E-01	-4.63E-01	0.501482981
7.69E+04	1.84E-01	-4.60E-01	0.494941672
7.70E+04	1.75E-01	-4.56E-01	0.488483705
7.71E+04	1.67E-01	-4.52E-01	0.482109101
7.72E+04	1.59E-01	-4.49E-01	0.475817801
7.73E+04	1.51E-01	-4.45E-01	0.469609674
7.74E+04	1.43E-01	-4.41E-01	0.463484517
7.75E+04	1.36E-01	-4.37E-01	0.457442064
7.76E+04	1.28E-01	-4.33E-01	0.451481987
7.77E+04	1.21E-01	-4.29E-01	0.445603902
7.78E+04	1.14E-01	-4.25E-01	0.43980737
7.79E+04	1.08E-01	-4.20E-01	0.434091905
7.80E+04	1.01E-01	-4.16E-01	0.428456976
7.81E+04	9.51E-02	-4.12E-01	0.422902008
7.82E+04	8.90E-02	-4.08E-01	0.417426388
7.83E+04	8.32E-02	-4.04E-01	0.412029469
7.84E+04	7.75E-02	-3.99E-01	0.406710569
7.85E+04	7.20E-02	-3.95E-01	0.401468978
7.86E+04	6.67E-02	-3.91E-01	0.396303959
7.87E+04	6.15E-02	-3.86E-01	0.39121475
7.88E+04	5.65E-02	-3.82E-01	0.386200567
7.89E+04	5.17E-02	-3.78E-01	0.381260605
7.90E+04	4.70E-02	-3.73E-01	0.376394045
7.91E+04	4.25E-02	-3.69E-01	0.371600048
7.92E+04	3.81E-02	-3.65E-01	0.366877766
7.93E+04	3.39E-02	-3.61E-01	0.362226336
7.94E+04	2.98E-02	-3.56E-01	0.357644885
7.95E+04	2.58E-02	-3.52E-01	0.353132534
7.96E+04	2.20E-02	-3.48E-01	0.348688396
7.97E+04	1.83E-02	-3.44E-01	0.344311577
7.98E+04	1.48E-02	-3.40E-01	0.34000118
7.99E+04	1.13E-02	-3.36E-01	0.335756307
8.00E+04	8.00E-03	-3.31E-01	0.331576056
8.01E+04	4.80E-03	-3.27E-01	0.327459524
8.02E+04	1.72E-03	-3.23E-01	0.32340581
8.03E+04	-1.26E-03	-3.19E-01	0.319414015
8.04E+04	-4.13E-03	-3.15E-01	0.315483239
8.05E+04	-6.90E-03	-3.12E-01	0.311612588
8.06E+04	-9.57E-03	-3.08E-01	0.307801172
8.07E+04	-1.21E-02	-3.04E-01	0.304048102
8.08E+04	-1.46E-02	-3.00E-01	0.300352498
8.09E+04	-1.70E-02	-2.96E-01	0.296713484
8.10E+04	-1.93E-02	-2.92E-01	0.29313019
8.11E+04	-2.15E-02	-2.89E-01	0.289601754
8.12E+04	-2.36E-02	-2.85E-01	0.28612732
8.13E+04	-2.57E-02	-2.82E-01	0.282706041
8.14E+04	-2.77E-02	-2.78E-01	0.279337076
8.15E+04	-2.95E-02	-2.74E-01	0.276019594
8.16E+04	-3.14E-02	-2.71E-01	0.272752772
8.17E+04	-3.31E-02	-2.67E-01	0.269535796
8.18E+04	-3.48E-02	-2.64E-01	0.266367861
8.19E+04	-3.64E-02	-2.61E-01	0.263248173
8.20E+04	-3.80E-02	-2.57E-01	0.260175944
8.21E+04	-3.94E-02	-2.54E-01	0.2571504
8.22E+04	-4.09E-02	-2.51E-01	0.254170774
8.23E+04	-4.22E-02	-2.48E-01	0.25123631
8.24E+04	-4.35E-02	-2.44E-01	0.248346261
8.25E+04	-4.48E-02	-2.41E-01	0.245499892
8.26E+04	-4.60E-02	-2.38E-01	0.242696477
8.27E+04	-4.71E-02	-2.35E-01	0.239935301
8.28E+04	-4.82E-02	-2.32E-01	0.237215658
8.29E+04	-4.93E-02	-2.29E-01	0.234536854
8.30E+04	-5.03E-02	-2.26E-01	0.231898204
8.31E+04	-5.13E-02	-2.23E-01	0.229299034
8.32E+04	-5.22E-02	-2.21E-01	0.22673868
8.33E+04	-5.31E-02	-2.18E-01	0.224216489
8.34E+04	-5.39E-02	-2.15E-01	0.221731816
8.35E+04	-5.47E-02	-2.12E-01	0.219284029
8.36E+04	-5.54E-02	-2.10E-01	0.216872505
8.37E+04	-5.62E-02	-2.07E-01	0.21449663
8.38E+04	-5.69E-02	-2.04E-01	0.212155801
8.39E+04	-5.75E-02	-2.02E-01	0.209849425
8.40E+04	-5.81E-02	-1.99E-01	0.207576918
8.41E+04	-5.87E-02	-1.97E-01	0.205337707
8.42E+04	-5.93E-02	-1.94E-01	0.203131227
8.43E+04	-5.98E-02	-1.92E-01	0.200956924
8.44E+04	-6.03E-02	-1.89E-01	0.198814253
8.45E+04	-6.07E-02	-1.87E-01	0.196702677
8.46E+04	-6.12E-02	-1.85E-01	0.19462167
8.47E+04	-6.16E-02	-1.82E-01	0.192570714
8.48E+04	-6.20E-02	-1.80E-01	0.1905493
8.49E+04	-6.24E-02	-1.78E-01	0.188556928
8.50E+04	-6.27E-02	-1.76E-01	0.186593108
8.51E+04	-6.30E-02	-1.74E-01	0.184657357
8.52E+04	-6.33E-02	-1.71E-01	0.1827492
8.53E+04	-6.36E-02	-1.69E-01	0.180868173
8.54E+04	-6.38E-02	-1.67E-01	0.179013817
8.55E+04	-6.41E-02	-1.65E-01	0.177185684
8.56E+04	-6.43E-02	-1.63E-01	0.175383332
8.57E+04	-6.45E-02	-1.61E-01	0.173606328
8.58E+04	-6.47E-02	-1.59E-01	0.171854246
8.59E+04	-6.48E-02	-1.57E-01	0.170126668
8.60E+04	-6.50E-02	-1.55E-01	0.168423184
8.61E+04	-6.51E-02	-1.53E-01	0.166743391
8.62E+04	-6.52E-02	-1.52E-01	0.165086892
8.63E+04	-6.53E-02	-1.50E-01	0.1634533
8.64E+04	-6.54E-02	-1.48E-01	0.161842233
8.65E+04	-6.55E-02	-1.46E-01	0.160253315
8.66E+04	-6.56E-02	-1.45E-01	0.158686179
8.67E+04	-6.56E-02	-1.43E-01	0.157140465
8.68E+04	-6.57E-02	-1.41E-01	0.155615816
8.69E+04	-6.57E-02	-1.39E-01	0.154111886
8.70E+04	-6.57E-02	-1.38E-01	0.152628331
8.71E+04	-6.57E-02	-1.36E-01	0.151164817
8.72E+04	-6.57E-02	-1.35E-01	0.149721014
8.73E+04	-6.57E-02	-1.33E-01	0.148296598
8.74E+04	-6.56E-02	-1.31E-01	0.146891252
8.75E+04	-6.56E-02	-1.30E-01	0.145504665
8.76E+04	-6.56E-02	-1.28E-01	0.144136528
8.77E+04	-6.55E-02	-1.27E-01	0.142786544
8.78E+04	-6.54E-02	-1.25E-01	0.141454415
8.79E+04	-6.54E-02	-1.24E-01	0.140139853
8.80E+04	-6.53E-02	-1.23E-01	0.138842572
8.81E+04	-6.52E-02	-1.21E-01	0.137562295
8.82E+04	-6.51E-02	-1.20E-01	0.136298746
8.83E+04	-6.50E-02	-1.18E-01	0.135051656
8.84E+04	-6.49E-02	-1.17E-01	0.133820762
8.85E+04	-6.48E-02	-1.16E-01	0.132605803
8.86E+04	-6.47E-02	-1.14E-01	0.131406524
8.87E+04	-6.45E-02	-1.13E-01	0.130222677
8.88E+04	-6.44E-02	-1.12E-01	0.129054014
8.89E+04	-6.43E-02	-1.11E-01	0.127900296
8.90E+04	-6.41E-02	-1.09E-01	0.126761284
8.91E+04	-6.40E-02	-1.08E-01	0.125636746
8.92E+04	-6.38E-02	-1.07E-01	0.124526455
8.93E+04	-6.37E-02	-1.06E-01	0.123430186
8.94E+04	-6.35E-02	-1.05E-01	0.122347719
8.95E+04	-6.34E-02	-1.03E-01	0.121278837
8.96E+04	-6.32E-02	-1.02E-01	0.120223328
8.97E+04	-6.30E-02	-1.01E-01	0.119180984
8.98E+04	-6.28E-02	-1.00E-01	0.118151601
8.99E+04	-6.27E-02	-9.90E-02	0.117134976
9.00E+04	-6.25E-02	-9.79E-02	0.116130912
9.01E+04	-6.23E-02	-9.68E-02	0.115139216
9.02E+04	-6.21E-02	-9.58E-02	0.114159696
9.03E+04	-6.19E-02	-9.47E-02	0.113192167
9.04E+04	-6.17E-02	-9.37E-02	0.112236443
9.05E+04	-6.15E-02	-9.27E-02	0.111292345
9.06E+04	-6.13E-02	-9.17E-02	0.110359695
9.07E+04	-6.11E-02	-9.08E-02	0.109438318
9.08E+04	-6.09E-02	-8.98E-02	0.108528045
9.09E+04	-6.07E-02	-8.89E-02	0.107628706
9.10E+04	-6.05E-02	-8.79E-02	0.106740137
9.11E+04	-6.03E-02	-8.70E-02	0.105862176
9.12E+04	-6.01E-02	-8.61E-02	0.104994662
9.13E+04	-5.99E-02	-8.52E-02	0.104137439
9.14E+04	-5.97E-02	-8.43E-02	0.103290355
9.15E+04	-5.95E-02	-8.34E-02	0.102453256
9.16E+04	-5.93E-02	-8.26E-02	0.101625996
9.17E+04	-5.90E-02	-8.17E-02	0.100808427
9.18E+04	-5.88E-02	-8.09E-02	0.100000407
9.19E+04	-5.86E-02	-8.00E-02	0.099201794
9.20E+04	-5.84E-02	-7.92E-02	0.098412451
9.21E+04	-5.82E-02	-7.84E-02	0.09763224
9.22E+04	-5.80E-02	-7.76E-02	0.096861029
9.23E+04	-5.77E-02	-7.68E-02	0.096098686
9.24E+04	-5.75E-02	-7.60E-02	0.095345081
9.25E+04	-5.73E-02	-7.53E-02	0.094600088
9.26E+04	-5.71E-02	-7.45E-02	0.093863582
9.27E+04	-5.68E-02	-7.38E-02	0.09313544
9.28E+04	-5.66E-02	-7.30E-02	0.092415541
9.29E+04	-5.64E-02	-7.23E-02	0.091703768
9.30E+04	-5.62E-02	-7.16E-02	0.091000003
9.31E+04	-5.59E-02	-7.09E-02	0.090304133
9.32E+04	-5.57E-02	-7.02E-02	0.089616043
9.33E+04	-5.55E-02	-6.95E-02	0.088935625
9.34E+04	-5.53E-02	-6.88E-02	0.088262768
9.35E+04	-5.50E-02	-6.81E-02	0.087597366
9.36E+04	-5.48E-02	-6.75E-02	0.086939314
9.37E+04	-5.46E-02	-6.68E-02	0.086288508
9.38E+04	-5.44E-02	-6.62E-02	0.085644846
9.39E+04	-5.41E-02	-6.55E-02	0.085008228
9.40E+04	-5.39E-02	-6.49E-02	0.084378557
9.41E+04	-5.37E-02	-6.43E-02	0.083755735
9.42E+04	-5.35E-02	-6.37E-02	0.083139666
9.43E+04	-5.32E-02	-6.31E-02	0.082530258
9.44E+04	-5.30E-02	-6.25E-02	0.081927419
9.45E+04	-5.28E-02	-6.19E-02	0.081331057
9.46E+04	-5.26E-02	-6.13E-02	0.080741084
9.47E+04	-5.23E-02	-6.07E-02	0.080157413
9.48E+04	-5.21E-02	-6.01E-02	0.079579956
9.49E+04	-5.19E-02	-5.96E-02	0.07900863
9.50E+04	-5.17E-02	-5.90E-02	0.078443351
9.51E+04	-5.15E-02	-5.85E-02	0.077884036
9.52E+04	-5.12E-02	-5.79E-02	0.077330606
9.53E+04	-5.10E-02	-5.74E-02	0.076782981
9.54E+04	-5.08E-02	-5.69E-02	0.076241082
9.55E+04	-5.06E-02	-5.63E-02	0.075704833
9.56E+04	-5.04E-02	-5.58E-02	0.075174158
9.57E+04	-5.01E-02	-5.53E-02	0.074648983
9.58E+04	-4.99E-02	-5.48E-02	0.074129235
9.59E+04	-4.97E-02	-5.43E-02	0.073614841
9.60E+04	-4.95E-02	-5.38E-02	0.073105731
9.61E+04	-4.93E-02	-5.33E-02	0.072601834
9.62E+04	-4.91E-02	-5.28E-02	0.072103082
9.63E+04	-4.88E-02	-5.24E-02	0.071609408
9.64E+04	-4.86E-02	-5.19E-02	0.071120745
9.65E+04	-4.84E-02	-5.14E-02	0.070637027
9.66E+04	-4.82E-02	-5.10E-02	0.07015819
9.67E+04	-4.80E-02	-5.05E-02	0.06968417
9.68E+04	-4.78E-02	-5.01E-02	0.069214906
9.69E+04	-4.76E-02	-4.96E-02	0.068750335
9.70E+04	-4.74E-02	-4.92E-02	0.068290396
9.71E+04	-4.72E-02	-4.88E-02	0.067835032
9.72E+04	-4.69E-02	-4.83E-02	0.067384181
