Freq.	V(n004)*I(R_load)
Step Information: Kv=100m  (Step: 1/5)
2.24231981981982e+04	-1.83572124060722e-05,6.92855033929723e-06
2.25232972972973e+04	-1.90005259633201e-05,7.22313650331966e-06
2.26233963963964e+04	-1.96649242749449e-05,7.52970407539513e-06
2.27234954954954e+04	-2.03510680076072e-05,7.84872846127701e-06
2.28235945945945e+04	-2.10596381609485e-05,8.18070389945327e-06
2.29236936936936e+04	-2.17913366961128e-05,8.52614422238206e-06
2.30237927927927e+04	-2.25468871838841e-05,8.88558364966757e-06
2.31238918918918e+04	-2.33270354730858e-05,9.25957761449565e-06
2.32239909909909e+04	-2.41325503798336e-05,9.64870362486308e-06
2.33240900900900e+04	-2.49642243983060e-05,1.00535621610929e-05
2.34241891891891e+04	-2.58228744336903e-05,1.04747776112418e-05
2.35242882882882e+04	-2.67093425579870e-05,1.09129992460801e-05
2.36243873873873e+04	-2.76244967893685e-05,1.13689022353987e-05
2.37244864864864e+04	-2.85692318958212e-05,1.18431887074696e-05
2.38245855855855e+04	-2.95444702237990e-05,1.23365888535932e-05
2.39246846846846e+04	-3.05511625526751e-05,1.28498620797007e-05
2.40247837837837e+04	-3.15902889757261e-05,1.33837982072057e-05
2.41248828828828e+04	-3.26628598085043e-05,1.39392187251939e-05
2.42249819819819e+04	-3.37699165253894e-05,1.45169780963346e-05
2.43250810810810e+04	-3.49125327251682e-05,1.51179651189075e-05
2.44251801801801e+04	-3.60918151265112e-05,1.57431043474805e-05
2.45252792792792e+04	-3.73089045942552e-05,1.63933575748386e-05
2.46253783783783e+04	-3.85649771973515e-05,1.70697253780442e-05
2.47254774774774e+04	-3.98612452994749e-05,1.77732487314121e-05
2.48255765765765e+04	-4.11989586832124e-05,1.85050106895117e-05
2.49256756756756e+04	-4.25794057088036e-05,1.92661381434065e-05
2.50257747747747e+04	-4.40039145084579e-05,2.00578036534210e-05
2.51258738738738e+04	-4.54738542172725e-05,2.08812273619334e-05
2.52259729729729e+04	-4.69906362417514e-05,2.17376789899640e-05
2.53260720720720e+04	-4.85557155670679e-05,2.26284799212551e-05
2.54261711711711e+04	-5.01705921040781e-05,2.35550053780390e-05
2.55262702702702e+04	-5.18368120772661e-05,2.45186866925895e-05
2.56263693693693e+04	-5.35559694547176e-05,2.55210136790637e-05
2.57264684684684e+04	-5.53297074212715e-05,2.65635371102919e-05
2.58265675675675e+04	-5.71597198960423e-05,2.76478713043516e-05
2.59266666666666e+04	-5.90477530954870e-05,2.87756968260843e-05
2.60267657657657e+04	-6.09956071432442e-05,2.99487633088862e-05
2.61268648648648e+04	-6.30051377279667e-05,3.11688924024185e-05
2.62269639639639e+04	-6.50782578103374e-05,3.24379808522333e-05
2.63270630630630e+04	-6.72169393806641e-05,3.37580037172845e-05
2.64271621621621e+04	-6.94232152681575e-05,3.51310177321064e-05
2.65272612612612e+04	-7.16991810032905e-05,3.65591648202992e-05
2.66273603603603e+04	-7.40469967344529e-05,3.80446757666169e-05
2.67274594594594e+04	-7.64688892002852e-05,3.95898740550195e-05
2.68275585585585e+04	-7.89671537588542e-05,4.11971798808468e-05
2.69276576576575e+04	-8.15441564751573e-05,4.28691143450798e-05
2.70277567567566e+04	-8.42023362680877e-05,4.46083038396853e-05
2.71278558558557e+04	-8.69442071181632e-05,4.64174846331648e-05
2.72279549549548e+04	-8.97723603374801e-05,4.82995076656391e-05
2.73280540540539e+04	-9.26894669029072e-05,5.02573435639574e-05
2.74281531531530e+04	-9.56982798539171e-05,5.22940878872006e-05
2.75282522522521e+04	-9.88016367562544e-05,5.44129666137463e-05
2.76283513513512e+04	-1.02002462232607e-04,5.66173418816519e-05
2.77284504504503e+04	-1.05303770561360e-04,5.89107179947722e-05
2.78285495495494e+04	-1.08708668344744e-04,6.12967477071933e-05
2.79286486486485e+04	-1.12220357247113e-04,6.37792388001149e-05
2.80287477477476e+04	-1.15842136804640e-04,6.63621609649545e-05
2.81288468468467e+04	-1.19577407307109e-04,6.90496530080977e-05
2.82289459459458e+04	-1.23429672752760e-04,7.18460303928881e-05
2.83290450450449e+04	-1.27402543876822e-04,7.47557931355913e-05
2.84291441441440e+04	-1.31499741254508e-04,7.77836340726472e-05
2.85292432432431e+04	-1.35725098478655e-04,8.09344475179953e-05
2.86293423423422e+04	-1.40082565412801e-04,8.42133383292234e-05
2.87294414414413e+04	-1.44576211519383e-04,8.76256314036213e-05
2.88295405405404e+04	-1.49210229263549e-04,9.11768816248691e-05
2.89296396396395e+04	-1.53988937592183e-04,9.48728842832695e-05
2.90297387387386e+04	-1.58916785487555e-04,9.87196859934745e-05
2.91298378378377e+04	-1.63998355595436e-04,1.02723596134038e-04
2.92299369369368e+04	-1.69238367926347e-04,1.06891198835666e-04
2.93300360360359e+04	-1.74641683628924e-04,1.11229365545626e-04
2.94301351351350e+04	-1.80213308833769e-04,1.15745268197519e-04
2.95302342342341e+04	-1.85958398566165e-04,1.20446393016818e-04
2.96303333333332e+04	-1.91882260724853e-04,1.25340554995121e-04
2.97304324324323e+04	-1.97990360124731e-04,1.30435913066415e-04
2.98305315315314e+04	-2.04288322599772e-04,1.35740986021803e-04
2.99306306306305e+04	-2.10781939162488e-04,1.41264669200440e-04
3.00307297297296e+04	-2.17477170216229e-04,1.47016251995599e-04
3.01308288288287e+04	-2.24380149814044e-04,1.53005436219573e-04
3.02309279279278e+04	-2.31497189960106e-04,1.59242355369405e-04
3.03310270270269e+04	-2.38834784945560e-04,1.65737594842227e-04
3.04311261261260e+04	-2.46399615712861e-04,1.72502213147647e-04
3.05312252252251e+04	-2.54198554239696e-04,1.79547764169734e-04
3.06313243243242e+04	-2.62238667933554e-04,1.86886320533001e-04
3.07314234234233e+04	-2.70527224026392e-04,1.94530498130128e-04
3.08315225225224e+04	-2.79071693958376e-04,2.02493481871549e-04
3.09316216216215e+04	-2.87879757737208e-04,2.10789052721824e-04
3.10317207207206e+04	-2.96959308260011e-04,2.19431616088704e-04
3.11318198198197e+04	-3.06318455580118e-04,2.28436231638531e-04
3.12319189189187e+04	-3.15965531103742e-04,2.37818644609965e-04
3.13320180180178e+04	-3.25909091694896e-04,2.47595318708189e-04
3.14321171171169e+04	-3.36157923668927e-04,2.57783470661121e-04
3.15322162162160e+04	-3.46721046650628e-04,2.68401106526542e-04
3.16323153153151e+04	-3.57607717270637e-04,2.79467059843690e-04
3.17324144144142e+04	-3.68827432672762e-04,2.91001031726250e-04
3.18325135135133e+04	-3.80389933799972e-04,3.03023633001669e-04
3.19326126126124e+04	-3.92305208425427e-04,3.15556428505374e-04
3.20327117117115e+04	-4.04583493890747e-04,3.28621983645539e-04
3.21328108108106e+04	-4.17235279510003e-04,3.42243913360800e-04
3.22329099099097e+04	-4.30271308595241e-04,3.56446933598335e-04
3.23330090090088e+04	-4.43702580053163e-04,3.71256915449505e-04
3.24331081081079e+04	-4.57540349499039e-04,3.86700942086231e-04
3.25332072072070e+04	-4.71796129830037e-04,4.02807368648215e-04
3.26333063063061e+04	-4.86481691191233e-04,4.19605885243532e-04
3.27334054054052e+04	-5.01609060266487e-04,4.37127583228463e-04
3.28335045045043e+04	-5.17190518814970e-04,4.55405024947621e-04
3.29336036036034e+04	-5.33238601370414e-04,4.74472317121506e-04
3.30337027027025e+04	-5.49766092012324e-04,4.94365188079824e-04
3.31338018018016e+04	-5.66786020108192e-04,5.15121069052156e-04
3.32339009009007e+04	-5.84311654917635e-04,5.36779179737868e-04
3.33339999999998e+04	-6.02356498942439e-04,5.59380618387750e-04
3.34340990990989e+04	-6.20934279889453e-04,5.82968456648650e-04
3.35341981981980e+04	-6.40058941110251e-04,6.07587839428795e-04
3.36342972972971e+04	-6.59744630360746e-04,6.33286090063541e-04
3.37343963963962e+04	-6.80005686717121e-04,6.60112821071056e-04
3.38344954954953e+04	-7.00856625463180e-04,6.88120050809442e-04
3.39345945945944e+04	-7.22312120757463e-04,7.17362326356453e-04
3.40346936936935e+04	-7.44386985859597e-04,7.47896852961129e-04
3.41347927927926e+04	-7.67096150686080e-04,7.79783630427768e-04
3.42348918918917e+04	-7.90454636440886e-04,8.13085596817130e-04
3.43349909909908e+04	-8.14477527045076e-04,8.47868779870264e-04
3.44350900900899e+04	-8.39179937063830e-04,8.84202456584791e-04
3.45351891891890e+04	-8.64576975808489e-04,9.22159321392961e-04
3.46352882882881e+04	-8.90683707252252e-04,9.61815663424543e-04
3.47353873873872e+04	-9.17515105382628e-04,1.00325155335280e-03
3.48354864864863e+04	-9.45086004563124e-04,1.04655104036251e-03
3.49355855855854e+04	-9.73411044454851e-04,1.09180235979804e-03
3.50356846846845e+04	-1.00250460900165e-03,1.13909815208701e-03
3.51357837837836e+04	-1.03238075893712e-03,1.18853569356764e-03
3.52358828828827e+04	-1.06305315723413e-03,1.24021713987923e-03
3.53359819819818e+04	-1.09453498685958e-03,1.29424978261401e-03
3.54360810810809e+04	-1.12683886014146e-03,1.35074631996872e-03
3.55361801801800e+04	-1.15997671900457e-03,1.40982514216866e-03
3.56362792792790e+04	-1.19395972524954e-03,1.47161063248979e-03
3.57363783783781e+04	-1.22879814000119e-03,1.53623348473392e-03
3.58364774774772e+04	-1.26450119135323e-03,1.60383103807471e-03
3.59365765765763e+04	-1.30107692916885e-03,1.67454763022937e-03
3.60366756756754e+04	-1.33853206590099e-03,1.74853496996558e-03
3.61367747747745e+04	-1.37687180218805e-03,1.82595253001316e-03
3.62368738738736e+04	-1.41609963589591e-03,1.90696796149051e-03
3.63369729729727e+04	-1.45621715313177e-03,1.99175753103429e-03
3.64370720720718e+04	-1.49722379965900e-03,2.08050658186080e-03
3.65371711711709e+04	-1.53911663096881e-03,2.17341002007279e-03
3.66372702702700e+04	-1.58189003915431e-03,2.27067282756822e-03
3.67373693693691e+04	-1.62553545453453e-03,2.37251060299629e-03
3.68374684684682e+04	-1.67004101982350e-03,2.47915013226200e-03
3.69375675675673e+04	-1.71539123441853e-03,2.59082999016603e-03
3.70376666666664e+04	-1.76156656620800e-03,2.70780117482983e-03
3.71377657657655e+04	-1.80854302804266e-03,2.83032777664150e-03
3.72378648648646e+04	-1.85629171576189e-03,2.95868768353865e-03
3.73379639639637e+04	-1.90477830442039e-03,3.09317332452081e-03
3.74380630630628e+04	-1.95396249904524e-03,3.23409245336711e-03
3.75381621621619e+04	-2.00379743592923e-03,3.38176897462651e-03
3.76382612612610e+04	-2.05422903013913e-03,3.53654381401915e-03
3.77383603603601e+04	-2.10519526450369e-03,3.69877583548873e-03
3.78384594594592e+04	-2.15662541495448e-03,3.86884280721589e-03
3.79385585585583e+04	-2.20843920662690e-03,4.04714241899576e-03
3.80386576576574e+04	-2.26054589465127e-03,4.23409335345654e-03
3.81387567567565e+04	-2.31284326299365e-03,4.43013641368243e-03
3.82388558558556e+04	-2.36521653416341e-03,4.63573570986984e-03
3.83389549549547e+04	-2.41753718190961e-03,4.85137990772596e-03
3.84390540540538e+04	-2.46966163839998e-03,5.07758354136198e-03
3.85391531531529e+04	-2.52142988655292e-03,5.31488839350425e-03
3.86392522522520e+04	-2.57266392738899e-03,5.56386494587669e-03
3.87393513513511e+04	-2.62316611137228e-03,5.82511390263698e-03
3.88394504504502e+04	-2.67271732172413e-03,6.09926778975376e-03
3.89395495495493e+04	-2.72107499656968e-03,6.38699263321866e-03
3.90396486486484e+04	-2.76797097568794e-03,6.68898971892609e-03
3.91397477477475e+04	-2.81310915626754e-03,7.00599743701238e-03
3.92398468468466e+04	-2.85616294069036e-03,7.33879321334465e-03
3.93399459459457e+04	-2.89677245793631e-03,7.68819553069271e-03
3.94400450450448e+04	-2.93454153827993e-03,8.05506604197845e-03
3.95401441441439e+04	-2.96903441947496e-03,8.44031177769433e-03
3.96402432432430e+04	-2.99977216028799e-03,8.84488744934917e-03
3.97403423423421e+04	-3.02622873528207e-03,9.26979785037780e-03
3.98404414414412e+04	-3.04782678228193e-03,9.71610035550525e-03
3.99405405405402e+04	-3.06393297135148e-03,1.01849075189957e-02
4.00406396396393e+04	-3.07385296128074e-03,1.06773897715605e-02
4.01407387387384e+04	-3.07682590639464e-03,1.11947782148489e-02
4.02408378378375e+04	-3.07201847324148e-03,1.17383675115492e-02
4.03409369369366e+04	-3.05851832270158e-03,1.23095188679429e-02
4.04410360360357e+04	-3.03532700932612e-03,1.29096631044480e-02
4.05411351351348e+04	-3.00135224490821e-03,1.35403038081263e-02
4.06412342342339e+04	-2.95539946847908e-03,1.42030205592808e-02
4.07413333333330e+04	-2.89616265971359e-03,1.48994722221500e-02
